lon,lat,distance_km,elevation_m
85.5122222222223,28.293055555555608,0.0,3737.0
85.5122222222264,28.293506822225744,0.050004399355607465,3735.5
85.5119624035129,28.293870929883536,0.10000879871121493,3734.0
85.51183249406813,28.29427861729346,0.15001319806682242,3730.0
85.51166666666914,28.29467425572764,0.20001759742242986,3722.0
85.51138888889076,28.295032340371566,0.2500219967780373,3706.0
85.51123476313762,28.295431905518708,0.30002639613364485,3689.0
85.51089685111562,28.29576981965989,0.3500307954892523,3689.0
85.51055893694672,28.296107732867565,0.4000351948448597,3689.0
85.51019214367255,28.29638888894916,0.4500395942004672,3692.0
85.50978943499814,28.296599454081747,0.5000439935560747,3692.0
85.5097222222381,28.297028173913777,0.5500483929116822,3692.0
85.50952961391975,28.29741483146778,0.6000527922672897,3692.0
85.50919169778531,28.29775274683829,0.6500571916228971,3690.0
85.50876011013136,28.297906559689675,0.7000615909785046,3686.0
85.50842219729614,28.298244478674555,0.750065990334112,3674.0
85.5080842823137,28.298582396725752,0.8000703896897194,3673.0
85.50774636518405,28.29892031384323,0.850074789045327,3671.0
85.50740844590712,28.299258230026943,0.9000791884009344,3668.0
85.50707052448287,28.299596145276876,0.9500835877565419,3656.0
85.50694444446198,28.30000511916395,1.0000879871121493,3648.0
85.50681070063351,28.30041152435507,1.0500923864677567,3642.0
85.50647278388587,28.300749445941307,1.1000967858233643,3642.0
85.50613486499078,28.301087366593684,1.1501011851789718,3633.0
85.50579694394817,28.301425286312163,1.2001055845345794,3631.0
85.50545902075798,28.301763205096726,1.2501099838901866,3628.0
85.50527777778103,28.302153677478405,1.3001143832457942,3617.0
85.5049866988972,28.30250000001301,1.3501187826014016,3611.0
85.50455958584095,28.30266263846296,1.4001231819570092,3595.0
85.50422166472997,28.303000561616383,1.4501275813126164,3577.0
85.50388374147126,28.30333848383577,1.500131980668224,3573.0
85.5036111111205,28.303698305707755,1.5501363800238315,3567.0
85.50361111111333,28.304149570321623,1.6001407793794389,3552.0
85.50326189789688,28.30444444449848,1.6501451787350465,3539.0
85.50285438770932,28.30464561702345,1.700149578090654,3534.0
85.50251646603684,28.304983544187596,1.7501539774462616,3512.0
85.5021785422164,28.305321470417557,1.8001583768018687,3499.0
85.50184061624795,28.305659395713317,1.8501627761574764,3499.0
85.50150268813145,28.30599732007482,1.9001671755130838,3488.0
85.50116475786687,28.306335243502055,1.9501715748686914,3484.0
85.5010348428453,28.30674293513997,2.0001759742242986,3484.0
85.50062749510245,28.30694444449884,2.0501803735799062,3481.0
85.50027777777879,28.307238877559975,2.1001847729355134,3480.0
85.50013539232772,28.30764238837963,2.150189172291121,3480.0
85.49979746649151,28.307980318977616,2.2001935716467287,3480.0
85.499459538507,28.30831824864121,2.250197971002336,3474.0
85.49912160837415,28.30865617737037,2.3002023703579435,3472.0
85.49878367609293,28.308994105165063,2.3502067697135507,3472.0
85.49861111112806,28.309387493735752,2.4002111690691588,3463.0
85.49852384341796,28.309809490139966,2.450215568424766,3459.0
85.49833333333702,28.310196861963423,2.500219967780373,3457.0
85.49805599588703,28.310555115225643,2.550224367135981,3453.0
85.49762438068304,28.310708957509835,2.6002287664915884,3452.0
85.49728645304853,28.311046893608264,2.6502331658471956,3450.0
85.49694852326537,28.3113848287721,2.7002375652028032,3450.0
85.49661059133352,28.3117227630013,2.750241964558411,3448.0
85.49627265725296,28.312060696295827,2.8002463639140185,3448.0
85.4959347210236,28.312398628655647,2.8502507632696257,3436.0
85.49559678264544,28.312736560080733,2.900255162625233,3433.0
85.49524920576884,28.313055555639863,2.950259561980841,3427.0
85.49473928595982,28.313055556137453,3.000263961336448,3426.0
85.49422936624372,28.313055555605022,3.0502683606920553,3423.0
85.49371944662053,28.313055555622867,3.100272760047663,3421.0
85.4933449735593,28.31332169514568,3.1502771594032706,3420.0
85.4930070380413,28.313659630495422,3.2002815587588778,3415.0
85.49261379183186,28.313888889124257,3.2502859581144854,3398.0
85.49214378708372,28.31396732423872,3.300290357470093,3393.0
85.49194444444845,28.314351737213837,3.3502947568257007,3386.0
85.49167593397503,28.31471295595461,3.400299156181308,3382.0
85.49131209478776,28.315000000056557,3.450303555536915,3345.0
85.49090636925746,28.315204742823607,3.500307954892523,3324.0
85.49056843107242,28.315542680133074,3.5503123542481303,3305.0
85.49013680273019,28.315696531392376,3.6003167536037375,3301.0
85.48979886429476,28.316034469534326,3.650321152959345,3290.0
85.48966894645508,28.31644216501745,3.7003255523149527,3272.0
