osm_id,amenity,Final_Name,GAPA_NAPA_min,Long,Lat
5055255859,school,Shri Janasewa Lower Secondary School,Belkotgadhi,85.089701,27.853684
5046072853,school,Shri Sila Devi Ma. Vi,Belkotgadhi,85.042318,27.851460
5063441826,school,Shree Sundaradevi Pra Vi,Bidur,85.176973,27.976273
4969579345,school,Shree Chipleti Pra Vi,Uttargaya,85.208176,28.056387
4968022376,school,Shree Arunodaya Primary School,Gosaikunda,85.351770,28.228854
7940743986,school,Chandeshwori Higher Secondary School,Bidur,85.169397,27.964749
5055276919,school,Shri Ganeshman Singh Memorial Primary School,Tarkeshwar,85.027670,27.849136
4939790691,school,Shri Panchayat Pra V,Benighat Rorang,84.718397,27.797923
4969595164,school,Shree Simle Pra Vi,Uttargaya,85.190789,28.029756
4929738122,school,त्रिवेणी बराहा माध्यामिक विद्यालय मुग्लिन,Ichchhyakamana,84.561214,27.854359
9794119187,school,"Shree Rastriya Aardharbhut School, Fishling",Ichchhyakamana,84.661484,27.842489
9794119213,school,"Green Field Secondary English School, Muglin",Ichchhyakamana,84.561530,27.857688
9794127028,school,"Sarbhashanti Secondary School, Kurintar",Ichchhyakamana,84.623044,27.870902
4934948633,school,Shri Satyawati Uchha Ma V,Siddhalek,84.937777,27.810738
4969563549,school,Shree Danda Gaun Ucha Ma. V,Uttargaya,85.185189,28.037893
4969611375,school,Shree Sivalaya Ni Ma.V,Uttargaya,85.191312,27.983549
4878209122,school,Shri Janajagriti Primary School,Gandaki,84.640951,27.862242
4939775439,school,Shri Janajyoti Pra V,Benighat Rorang,84.700844,27.799989
4967982080,school,Shree komin Pra.V,Gosaikunda,85.332170,28.161670
5010981070,school,Shr Prithibi Ma Vi,Bidur,85.141572,27.913977
5019534984,school,Shree Tribhuwan Ma Vi,Kispang,85.178298,28.018160
4940188938,school,Shri Sarashwati Pra Vi,Gajuri,84.902255,27.798875
4941848995,school,Shri Jibanjyoti Bal Bikash Kendra,Gajuri,84.884255,27.800538
5634837379,school,Munal Academy,Gajuri,84.877144,27.805272
4941869402,school,Shri Aadarsha Bahumukhi Campus,Gajuri,84.877341,27.807084
4941743504,school,Shri Adarsha Uchha Ma V,Gajuri,84.879326,27.807585
4934940717,school,Shri Golma Rani Pra V,Siddhalek,84.837947,27.812443
4941787232,school,Shri Orbang Pra V,Benighat Rorang,84.798734,27.809773
4939797039,school,Shri Chandrodaya Ma Vi,Benighat Rorang,84.781624,27.812166
4968032717,school,Shree Nepal Rastriya Pra Vi,Parbati Kunda,85.344546,28.197042
4967821159,school,Shree Haku Besi Ni.Ma.V,Parbati Kunda,85.279417,28.114628
6100115486,,Greenline Transport,Ichchhyakamana,84.616645,27.874113
9794127022,school,Kurin Boarding School,Ichchhyakamana,84.625157,27.870644
